NEName,NeType,CollectTime,Interval,RegAtt,RegSucc,RegFail,InvAtt,InvSucc,InvFail,Rsp4xx,Rsp5xx,Rsp6xx,ActSess,SetupTime,CpuLoad,MemLoad,MsgRx,MsgTx
IMS-CSCF-A02,S_CSCF,20260605000000,5,892,879,13,552,544,8,17,3,1,1913,118.83,26.67,43.56,8921,8460
IMS-CSCF-A02,S_CSCF,20260605000500,5,911,902,9,563,550,13,17,4,1,1952,135.37,30.88,44.56,8844,8687
IMS-CSCF-A02,S_CSCF,20260605001000,5,898,885,13,556,547,9,17,4,1,1926,127.75,31.56,42.48,8962,8657
IMS-CSCF-A02,S_CSCF,20260605001500,5,940,918,22,582,577,5,21,5,1,2015,125.66,31.33,40.57,9617,8988
IMS-CSCF-A02,S_CSCF,20260605002000,5,950,924,26,588,578,10,28,7,1,2035,136.19,28.26,44.07,9380,9180
IMS-CSCF-A02,S_CSCF,20260605002500,5,942,925,17,583,567,16,27,5,1,2019,121.47,28.34,43.55,9443,8733
IMS-CSCF-A02,S_CSCF,20260605003000,5,887,876,11,549,545,4,12,3,0,1902,124.35,27.2,43.14,8748,8429
IMS-CSCF-A02,S_CSCF,20260605003500,5,920,906,14,569,558,11,20,4,1,1972,128.3,25.41,44.42,9023,8453
IMS-CSCF-A02,S_CSCF,20260605004000,5,918,904,14,568,561,7,16,4,1,1968,123.45,28.67,40.83,9047,8780
IMS-CSCF-A02,S_CSCF,20260605004500,5,961,956,5,595,584,11,12,3,1,2060,134.88,31.45,44.07,9894,8796
IMS-CSCF-A02,S_CSCF,20260605005000,5,944,916,28,584,572,12,32,7,1,2023,135.03,28.67,45.33,9616,8568
IMS-CSCF-A02,S_CSCF,20260605005500,5,931,922,9,576,559,17,21,4,1,1996,133.34,27.64,42.41,9059,8621
IMS-CSCF-A02,S_CSCF,20260605010000,5,864,859,5,535,529,6,9,2,0,1852,116.91,28.15,40.98,8650,7996
IMS-CSCF-A02,S_CSCF,20260605010500,5,884,860,24,547,533,14,29,7,2,1894,125.39,27.44,43.68,8993,8088
IMS-CSCF-A02,S_CSCF,20260605011000,5,870,850,20,539,529,10,23,6,1,1865,125.59,28.92,45.54,8676,8150
IMS-CSCF-A02,S_CSCF,20260605011500,5,968,952,16,599,595,4,15,4,1,2075,127.35,31.75,42.07,9473,8934
IMS-CSCF-A02,S_CSCF,20260605012000,5,948,938,10,587,582,5,11,3,1,2032,126.83,32.09,43.41,9719,8967
IMS-CSCF-A02,S_CSCF,20260605012500,5,908,897,11,562,547,15,20,5,1,1945,118.47,27.35,44.56,9171,8715
IMS-CSCF-A02,S_CSCF,20260605013000,5,864,842,22,535,529,6,22,5,1,1852,124.45,31.19,40.75,8609,8122
IMS-CSCF-A02,S_CSCF,20260605013500,5,899,892,7,556,549,7,10,3,1,1927,131.59,30.79,42.75,8868,8319
IMS-CSCF-A02,S_CSCF,20260605014000,5,916,891,25,567,556,11,29,6,1,1964,134.56,28.41,41.4,9173,8630
IMS-CSCF-A02,S_CSCF,20260605014500,5,923,897,26,571,557,14,31,8,1,1979,133.4,30.25,42.11,9529,8613
IMS-CSCF-A02,S_CSCF,20260605015000,5,925,917,8,572,560,12,17,3,0,1982,138.59,28.75,41.11,9503,8600
IMS-CSCF-A02,S_CSCF,20260605015500,5,890,882,8,551,538,13,16,4,1,1908,128.12,25.73,41.82,8971,8078
IMS-CSCF-A02,S_CSCF,20260605020000,5,894,885,9,553,542,11,15,4,1,1917,140.34,29.86,42.75,9159,8427
IMS-CSCF-A02,S_CSCF,20260605020500,5,936,921,15,579,570,9,18,5,1,2007,114.72,30.34,42.6,9596,8583
IMS-CSCF-A02,S_CSCF,20260605021000,5,907,889,18,561,549,12,23,6,1,1944,132.49,27.49,42.31,8974,8516
IMS-CSCF-A02,S_CSCF,20260605021500,5,923,908,15,571,568,3,14,3,1,1978,127.3,28.5,45.82,9056,8739
IMS-CSCF-A02,S_CSCF,20260605022000,5,922,916,6,571,562,9,11,3,1,1976,136.76,28.51,43.44,8999,8913
IMS-CSCF-A02,S_CSCF,20260605022500,5,887,865,22,549,542,7,22,6,1,1902,127.86,27.7,39.79,8758,8423
IMS-CSCF-A02,S_CSCF,20260605023000,5,897,871,26,555,549,6,25,5,2,1923,127.84,29.51,43.04,8946,8645
IMS-CSCF-A02,S_CSCF,20260605023500,5,901,877,24,557,540,17,33,7,1,1930,129.03,28.37,42.5,9073,8719
IMS-CSCF-A02,S_CSCF,20260605024000,5,932,905,27,577,560,17,34,8,2,1999,136.21,26.4,43.74,9587,9036
IMS-CSCF-A02,S_CSCF,20260605024500,5,919,894,25,569,552,17,33,7,2,1970,121.01,28.08,39.76,8951,8472
IMS-CSCF-A02,S_CSCF,20260605025000,5,918,907,11,568,553,15,21,4,1,1968,135.39,28.08,42.6,9249,8554
IMS-CSCF-A02,S_CSCF,20260605025500,5,883,874,9,546,538,8,13,3,1,1893,127.92,29.12,44.96,8858,8490
IMS-CSCF-A02,S_CSCF,20260605030000,5,936,925,11,579,566,13,19,4,1,2006,129.08,28.12,43.62,9292,8665
IMS-CSCF-A02,S_CSCF,20260605030500,5,890,884,6,551,547,4,8,2,0,1909,124.22,29.85,41.9,8852,8163
IMS-CSCF-A02,S_CSCF,20260605031000,5,953,938,15,590,585,5,15,4,1,2043,128.84,29.36,41.73,9662,8973
IMS-CSCF-A02,S_CSCF,20260605031000,5,953,938,15,590,585,5,15,4,1,2043,128.84,29.36,41.73,9662,8973
IMS-CSCF-A02,S_CSCF,20260605031500,5,878,864,14,543,535,8,17,4,1,1882,133.82,34.37,43.74,9023,8494
IMS-CSCF-A02,S_CSCF,20260605032000,5,933,908,25,577,563,14,30,7,2,1999,136.05,28.19,42.1,9381,8762
IMS-CSCF-A02,S_CSCF,20260605032500,5,930,921,9,575,559,16,19,5,1,1992,134.86,32.4,41.89,9240,8496
IMS-CSCF-A02,S_CSCF,20260605033000,5,913,900,13,565,553,12,20,4,1,1958,133.89,28.45,43.76,8941,8389
IMS-CSCF-A02,S_CSCF,20260605033500,5,961,951,10,595,589,6,12,3,1,2060,134.65,28.67,41.2,9529,8951
IMS-CSCF-A02,S_CSCF,20260605034000,5,891,880,11,551,535,16,21,5,1,1910,120.46,25.88,40.27,8677,8342
IMS-CSCF-A02,S_CSCF,20260605034500,5,982,976,6,607,596,11,13,3,1,2104,142.23,32.18,44.87,10035,9300
IMS-CSCF-A02,S_CSCF,20260605035000,5,930,914,16,576,564,12,22,5,1,1994,126.64,25.95,42.06,9151,8555
