NEName,NeType,CollectTime,Interval,RegAtt,RegSucc,RegFail,InvAtt,InvSucc,InvFail,Rsp4xx,Rsp5xx,Rsp6xx,ActSess,SetupTime,CpuLoad,MemLoad,MsgRx,MsgTx
IMS-CSCF-A01,P_CSCF,20260604000000,5,1227,1211,16,759,736,23,30,7,2,2630,126.42,31.71,42.87,12461,11450
IMS-CSCF-A01,P_CSCF,20260604000500,5,1208,1195,13,748,733,15,22,5,1,2589,129.5,34.21,44.62,11842,11178
IMS-CSCF-A01,P_CSCF,20260604001000,5,1265,1253,12,783,764,19,24,6,1,2711,138.93,33.41,45.1,12765,11543
IMS-CSCF-A01,P_CSCF,20260604001500,5,1173,1145,28,726,707,19,37,8,2,2515,123.24,33.5,46.28,11924,11040
IMS-CSCF-A01,P_CSCF,20260604002000,5,1292,1269,23,800,784,16,31,7,1,2769,125.79,34.53,44.94,13303,11796
IMS-CSCF-A01,P_CSCF,20260604002500,5,1302,1293,9,806,786,20,22,5,2,2791,142.41,34.56,44.77,12704,12548
IMS-CSCF-A01,P_CSCF,20260604003000,5,1311,1284,27,811,802,9,27,7,2,2809,135.61,34.92,43.45,13253,12074
IMS-CSCF-A01,P_CSCF,20260604003500,5,1247,1227,20,772,755,17,29,7,1,2672,141.17,34.81,45.03,12633,11613
IMS-CSCF-A01,P_CSCF,20260604004000,5,1274,1264,10,788,777,11,16,4,1,2730,138.06,36.95,44.58,12947,12369
IMS-CSCF-A01,P_CSCF,20260604004500,5,1306,1283,23,808,790,18,32,7,2,2798,129.27,35.64,43.8,13181,12185
IMS-CSCF-A01,P_CSCF,20260604005000,5,1245,1236,9,771,755,16,20,4,1,2669,132.47,33.1,44.08,12493,11441
IMS-CSCF-A01,P_CSCF,20260604005500,5,1277,1267,10,790,785,5,11,3,1,2737,134.69,31.86,42.76,12749,12100
IMS-CSCF-A01,P_CSCF,20260604010000,5,1267,1245,22,784,775,9,24,6,1,2715,133.33,29.55,43.2,12321,12286
IMS-CSCF-A01,P_CSCF,20260604010500,5,1257,1248,9,778,773,5,11,3,0,2694,133.71,34.22,43.33,12485,11690
IMS-CSCF-A01,P_CSCF,20260604011000,5,1252,1227,25,775,763,12,29,7,1,2682,132.79,34.68,43.66,12941,11480
IMS-CSCF-A01,P_CSCF,20260604011500,5,1287,1271,16,796,784,12,21,6,1,2758,134.97,36.79,43.9,12867,12137
IMS-CSCF-A01,P_CSCF,20260604012000,5,1273,1254,19,788,773,15,25,7,2,2729,134.38,33.17,46.42,12492,12087
IMS-CSCF-A01,P_CSCF,20260604012500,5,1276,1257,19,790,782,8,21,5,1,2734,133.36,36.26,41.26,12834,12113
IMS-CSCF-A01,P_CSCF,20260604013000,5,1273,1238,35,788,779,9,35,8,1,2729,141.14,36.61,44.22,13089,12194
IMS-CSCF-A01,P_CSCF,20260604013500,5,1282,1273,9,793,781,12,16,4,1,2747,123.68,32.01,46.98,12663,12449
IMS-CSCF-A01,P_CSCF,20260604014000,5,1285,1265,20,795,780,15,27,7,1,2753,142.02,34.67,40.9,12676,11798
IMS-CSCF-A01,P_CSCF,20260604014500,5,1214,1200,14,752,746,6,15,4,1,2603,135.42,31.75,44.16,12200,11773
IMS-CSCF-A01,P_CSCF,20260604015000,5,1276,1269,7,790,784,6,9,3,1,2735,135.58,31.59,46.11,12960,11851
IMS-CSCF-A01,P_CSCF,20260604015500,5,1260,1248,12,780,757,23,28,6,1,2700,137.42,36.21,47.41,13053,11626
