NEName,NeType,CollectTime,Interval,RegAtt,RegSucc,RegFail,InvAtt,InvSucc,InvFail,Rsp4xx,Rsp5xx,Rsp6xx,ActSess,SetupTime,CpuLoad,MemLoad,MsgRx,MsgTx
IMS-CSCF-A02,S_CSCF,20260601000000,5,898,892,6,555,540,15,16,4,1,1924,118.82,28.13,41.79,9098,8212
IMS-CSCF-A02,S_CSCF,20260601000500,5,872,848,24,540,526,14,31,6,1,1870,132.6,33.88,42.25,8659,8419
IMS-CSCF-A02,S_CSCF,20260601001000,5,939,924,15,581,572,9,19,4,1,2013,123.63,30.86,44.49,9472,9070
IMS-CSCF-A02,S_CSCF,20260601001500,5,918,913,5,568,555,13,14,3,1,1968,133.64,26.06,45.76,9048,8861
IMS-CSCF-A02,S_CSCF,20260601002000,5,867,849,18,536,530,6,18,5,1,1858,131.3,28.91,42.51,8524,7895
IMS-CSCF-A02,S_CSCF,20260601002500,5,928,907,21,574,560,14,26,7,2,1989,131.77,28.98,42.36,9353,8730
IMS-CSCF-A02,S_CSCF,20260601003000,5,884,877,7,547,532,15,17,4,1,1896,127.76,33.36,44.3,8882,8046
IMS-CSCF-A02,S_CSCF,20260601003500,5,904,890,14,560,545,15,23,5,1,1938,127.94,29.35,44.51,9152,8403
IMS-CSCF-A02,S_CSCF,20260601003500,5,904,890,14,560,545,15,23,5,1,1938,127.94,29.35,44.51,9152,8403
IMS-CSCF-A02,S_CSCF,20260601004000,5,925,900,25,573,559,14,30,7,2,1984,123.67,28.34,41.15,9266,8942
IMS-CSCF-A02,S_CSCF,20260601004500,5,881,859,22,545,540,5,21,5,1,1887,124.46,29.68,46.28,8933,8238
IMS-CSCF-A02,S_CSCF,20260601005000,5,896,881,15,554,546,8,17,5,1,1920,131.7,29.63,43.28,9278,8506
IMS-CSCF-A02,S_CSCF,20260601005500,5,925,911,14,573,562,11,20,4,1,1983,127.71,30.72,44.27,9390,8895
IMS-CSCF-A02,S_CSCF,20260601010000,5,898,873,25,555,545,10,28,6,1,1924,135.94,26.97,40.6,8722,8656
IMS-CSCF-A02,S_CSCF,20260601010500,5,891,882,9,552,548,4,11,2,0,1911,130.22,24.25,39.51,8917,8245
IMS-CSCF-A02,S_CSCF,20260601011000,5,949,943,6,588,582,6,9,2,1,2035,117.81,32.67,41.31,9324,9175
IMS-CSCF-A02,S_CSCF,20260601011500,5,929,905,24,575,562,13,28,7,2,1992,132.71,30.07,41.46,9107,8907
IMS-CSCF-A02,S_CSCF,20260601012000,5,903,898,5,559,552,7,9,2,1,1936,119.85,30.37,44.04,8830,8505
IMS-CSCF-A02,S_CSCF,20260601012500,5,888,879,9,550,542,8,13,3,1,1904,130.38,32.19,44.52,8919,8184
IMS-CSCF-A02,S_CSCF,20260601013000,5,867,851,16,537,529,8,19,4,1,1859,123.0,29.11,45.43,8526,8311
IMS-CSCF-A02,S_CSCF,20260601013500,5,924,914,10,572,558,14,18,5,1,1981,124.38,29.84,42.53,9115,8448
IMS-CSCF-A02,S_CSCF,20260601014000,5,890,878,12,551,546,5,13,3,1,1908,133.03,25.54,42.94,9164,8211
IMS-CSCF-A02,S_CSCF,20260601014500,5,895,874,21,554,540,14,28,6,1,1918,130.9,26.97,43.27,9033,8270
IMS-CSCF-A02,S_CSCF,20260601015000,5,925,916,9,572,558,14,18,4,1,1982,121.71,29.97,43.55,9383,8546
IMS-CSCF-A02,S_CSCF,20260601015500,5,887,881,6,549,540,9,12,2,1,1902,124.49,28.38,41.92,8695,8326
IMS-CSCF-A02,S_CSCF,20260601020000,5,919,906,13,569,556,13,20,4,2,1969,131.52,32.65,41.39,9127,8852
IMS-CSCF-A02,S_CSCF,20260601020500,5,926,920,6,573,568,5,8,2,1,1984,136.72,29.35,44.41,9246,8959
IMS-CSCF-A02,S_CSCF,20260601021000,5,880,860,20,544,535,9,22,5,2,1886,133.2,31.47,43.2,8738,7984
IMS-CSCF-A02,S_CSCF,20260601021500,5,867,846,21,536,523,13,27,6,1,1857,127.79,26.74,41.7,8712,8010
IMS-CSCF-A02,S_CSCF,20260601022000,5,914,892,22,566,558,8,24,5,1,1959,119.91,25.9,39.91,9006,8639
IMS-CSCF-A02,S_CSCF,20260601022500,5,956,943,13,592,582,10,18,4,1,2049,124.41,32.61,46.04,9708,8812
IMS-CSCF-A02,S_CSCF,20260601023000,5,926,912,14,573,569,4,14,3,1,1985,138.28,30.1,40.88,9479,8749
IMS-CSCF-A02,S_CSCF,20260601023500,5,954,932,22,591,586,5,21,5,1,2045,120.36,25.47,43.61,9671,8867
IMS-CSCF-A02,S_CSCF,20260601024000,5,924,903,21,572,561,11,24,6,2,1981,122.16,31.69,41.61,9426,8835
IMS-CSCF-A02,S_CSCF,20260601024500,5,933,926,7,577,562,15,17,4,1,1999,131.06,26.16,42.46,9548,8988
IMS-CSCF-A02,S_CSCF,20260601024500,5,933,926,7,577,562,15,17,4,1,1999,131.06,26.16,42.46,9548,8988
IMS-CSCF-A02,S_CSCF,20260601025000,5,933,914,19,578,567,11,24,5,1,2001,136.05,25.68,43.46,9306,9014
IMS-CSCF-A02,S_CSCF,20260601025500,5,874,864,10,541,537,4,11,2,1,1874,135.99,30.0,42.04,9020,8348
IMS-CSCF-A02,S_CSCF,20260601030000,5,887,874,13,549,533,16,23,5,1,1901,137.86,31.96,43.1,8835,8573
IMS-CSCF-A02,S_CSCF,20260601030500,5,953,941,12,590,578,12,19,4,1,2042,131.16,30.44,41.88,9276,8818
IMS-CSCF-A02,S_CSCF,20260601031000,5,887,875,12,549,537,12,19,4,1,1900,120.59,25.09,41.02,8656,8062
IMS-CSCF-A02,S_CSCF,20260601031500,5,932,906,26,577,560,17,34,7,2,1997,133.01,28.16,43.49,9241,8796
IMS-CSCF-A02,S_CSCF,20260601032000,5,871,859,12,539,525,14,20,5,1,1867,136.16,28.5,43.29,8732,8275
IMS-CSCF-A02,S_CSCF,20260601032500,5,930,911,19,576,560,16,28,6,1,1994,127.45,27.85,43.41,9067,8878
IMS-CSCF-A02,S_CSCF,20260601033000,5,929,916,13,575,560,15,22,5,1,1992,126.12,32.1,42.06,9212,8739
IMS-CSCF-A02,S_CSCF,20260601033500,5,911,892,19,564,560,4,18,4,1,1954,122.21,30.19,42.09,9018,8725
IMS-CSCF-A02,S_CSCF,20260601034000,5,950,939,11,588,574,14,20,4,1,2037,126.39,29.83,44.42,9537,9139
IMS-CSCF-A02,S_CSCF,20260601034500,5,952,946,6,589,580,9,12,2,1,2040,130.55,28.76,43.59,9514,8797
IMS-CSCF-A02,S_CSCF,20260601035000,5,927,920,7,574,558,16,18,4,1,1988,130.92,26.95,42.98,9013,8902
IMS-CSCF-A02,S_CSCF,20260601035500,5,938,912,26,580,570,10,29,6,1,2011,135.37,26.3,41.25,9224,8959
IMS-CSCF-A02,S_CSCF,20260601040000,5,926,906,20,573,564,9,23,5,1,1985,132.3,27.91,39.89,9080,8854
IMS-CSCF-A02,S_CSCF,20260601040500,5,931,909,22,576,566,10,25,6,1,1995,121.38,27.8,41.47,9550,8479
IMS-CSCF-A02,S_CSCF,20260601041000,5,948,941,7,587,577,10,13,3,1,2032,134.41,30.99,40.15,9332,8843
IMS-CSCF-A02,S_CSCF,20260601041500,5,959,946,13,593,586,7,15,4,1,2055,121.53,30.46,44.55,9551,9218
IMS-CSCF-A02,S_CSCF,20260601042000,5,926,918,8,573,558,15,18,4,1,1984,120.51,28.06,43.73,9241,8523
IMS-CSCF-A02,S_CSCF,20260601042500,5,903,894,9,559,544,15,19,4,1,1937,135.62,29.01,45.18,9250,8457
IMS-CSCF-A02,S_CSCF,20260601043000,5,931,911,20,576,564,12,25,6,1,1996,129.71,29.53,,9616,8671
IMS-CSCF-A02,S_CSCF,20260601043500,5,967,947,20,599,593,6,20,5,1,2073,130.32,28.39,40.64,9433,9083
IMS-CSCF-A02,S_CSCF,20260601044000,5,946,925,21,586,574,12,26,6,1,2028,130.96,32.46,42.49,9416,8829
IMS-CSCF-A02,S_CSCF,20260601044500,5,985,964,21,610,598,12,26,6,1,2112,123.45,28.38,45.88,9616,9286
IMS-CSCF-A02,S_CSCF,20260601045000,5,968,962,6,599,583,16,17,4,1,2075,125.8,29.08,40.77,10022,8956
IMS-CSCF-A02,S_CSCF,20260601045500,5,968,952,16,599,584,15,24,6,1,2075,136.4,30.79,43.27,9472,9368
IMS-CSCF-A02,S_CSCF,20260601050000,5,1010,984,26,625,614,11,30,6,1,2165,132.02,33.32,43.72,10441,9464
IMS-CSCF-A02,S_CSCF,20260601050500,5,998,970,28,618,615,3,24,6,1,2139,119.88,29.47,43.66,9976,9344
IMS-CSCF-A02,S_CSCF,20260601051000,5,987,959,28,611,602,9,28,7,2,2115,126.64,33.49,42.28,9915,9177
