NEName,NeType,CollectTime,Interval,RegAtt,RegSucc,RegFail,InvAtt,InvSucc,InvFail,Rsp4xx,Rsp5xx,Rsp6xx,ActSess,SetupTime,CpuLoad,MemLoad,MsgRx,MsgTx
IMS-CSCF-A01,P_CSCF,20260605000000,5,1274,1256,18,789,781,8,20,5,1,2731,137.01,33.95,42.99,12379,11816
IMS-CSCF-A01,P_CSCF,20260605000500,5,1234,1212,22,764,749,15,29,7,1,2645,127.52,34.41,42.78,12143,11276
IMS-CSCF-A01,P_CSCF,20260605001000,5,1265,1254,11,783,771,12,18,4,1,2712,132.29,32.04,45.26,12393,12151
IMS-CSCF-A01,P_CSCF,20260605001500,5,1255,1236,19,777,764,13,26,5,1,2690,125.03,31.28,45.09,12789,11456
IMS-CSCF-A01,P_CSCF,20260605002000,5,1297,1270,27,803,796,7,27,6,1,2779,140.03,36.84,46.6,12961,12268
IMS-CSCF-A01,P_CSCF,20260605002500,5,1291,1274,17,799,777,22,32,6,1,2767,133.31,33.53,44.26,13295,11719
IMS-CSCF-A01,P_CSCF,20260605003000,5,1260,1225,35,780,758,22,44,10,3,2701,136.26,33.78,44.89,12752,11553
IMS-CSCF-A01,P_CSCF,20260605003500,5,1307,1297,10,809,789,20,23,6,1,2801,125.7,32.93,45.07,12748,12675
IMS-CSCF-A01,P_CSCF,20260605004000,5,1276,1250,26,790,772,18,32,9,3,2736,122.94,34.57,44.14,13061,11578
IMS-CSCF-A01,P_CSCF,20260605004500,5,1188,1158,30,735,714,21,39,9,3,2546,140.58,31.43,42.88,12003,11427
IMS-CSCF-A01,P_CSCF,20260605005000,5,1258,1234,24,778,765,13,29,6,2,2695,136.01,34.8,42.09,12390,11777
IMS-CSCF-A01,P_CSCF,20260605005500,5,1285,1259,26,795,788,7,25,6,2,2754,133.44,35.66,45.99,12625,12286
IMS-CSCF-A01,P_CSCF,20260605010000,5,1254,1227,27,776,757,19,36,9,1,2688,130.08,34.55,46.52,12954,12177
IMS-CSCF-A01,P_CSCF,20260605010500,5,1268,1230,38,785,776,9,36,9,2,2719,132.71,35.5,45.67,12709,11747
IMS-CSCF-A01,P_CSCF,20260605011000,5,1277,1241,36,790,785,5,31,8,2,2738,133.1,32.79,46.0,12649,12359
IMS-CSCF-A01,P_CSCF,20260605011500,5,1301,1266,35,805,788,17,41,9,2,2788,129.13,35.49,43.64,13018,12618
IMS-CSCF-A01,P_CSCF,20260605012000,5,1234,1213,21,764,754,10,24,6,1,2645,138.56,34.21,43.37,,11554
IMS-CSCF-A01,P_CSCF,20260605012500,5,1293,1259,34,800,786,14,38,9,1,2772,143.75,32.21,43.96,13128,12359
IMS-CSCF-A01,P_CSCF,20260605013000,5,1267,1231,36,784,767,17,41,10,2,2716,134.46,34.8,44.01,12774,12224
IMS-CSCF-A01,P_CSCF,20260605013500,5,1250,1225,25,773,761,12,29,6,2,2678,124.65,36.54,43.91,12626,11942
IMS-CSCF-A01,P_CSCF,20260605014000,5,1337,1301,36,827,823,4,31,7,2,2865,133.47,35.06,46.21,13368,12262
IMS-CSCF-A01,P_CSCF,20260605014500,5,1251,1235,16,774,769,5,16,4,1,2682,128.11,35.32,43.99,12635,11826
IMS-CSCF-A01,P_CSCF,20260605015000,5,1247,1210,37,772,766,6,34,7,2,2672,143.24,31.41,45.84,12782,11960
IMS-CSCF-A01,P_CSCF,20260605015500,5,1259,1250,9,779,772,7,12,3,1,2699,133.33,30.8,44.4,13041,11728
IMS-CSCF-A01,P_CSCF,20260605020000,5,1228,1195,33,760,754,6,30,7,2,2631,121.15,34.85,43.85,12255,11492
IMS-CSCF-A01,P_CSCF,20260605020500,5,1300,1280,20,805,794,11,24,6,1,2787,136.24,35.65,46.61,12712,12062
IMS-CSCF-A01,P_CSCF,20260605021000,5,1361,1334,27,842,817,25,40,9,3,2916,133.15,36.19,44.2,13921,12798
IMS-CSCF-A01,P_CSCF,20260605021500,5,1233,1223,10,763,757,6,12,3,1,2643,147.28,34.15,42.94,12565,11464
IMS-CSCF-A01,P_CSCF,20260605022000,5,1236,1211,25,765,744,21,36,8,2,2648,124.32,34.82,43.84,12057,11483
