NEName,NeType,CollectTime,Interval,RegAtt,RegSucc,RegFail,InvAtt,InvSucc,InvFail,Rsp4xx,Rsp5xx,Rsp6xx,ActSess,SetupTime,CpuLoad,MemLoad,MsgRx,MsgTx
IMS-CSCF-A01,P_CSCF,20260602000000,5,1212,1205,7,750,746,4,9,2,0,2597,130.91,29.24,47.36,12475,11265
IMS-CSCF-A01,P_CSCF,20260602000500,5,1208,1185,23,748,733,15,30,7,1,2590,125.91,29.92,44.52,11790,11068
IMS-CSCF-A01,P_CSCF,20260602001000,5,1294,1258,36,801,781,20,44,10,2,2773,137.13,31.96,46.58,12991,12493
IMS-CSCF-A01,P_CSCF,20260602001500,5,1295,1283,12,801,783,18,24,5,1,2775,135.89,34.52,45.34,12726,12569
IMS-CSCF-A01,P_CSCF,20260602002000,5,1284,1250,34,794,779,15,37,10,2,2751,135.2,34.02,46.64,13255,12256
IMS-CSCF-A01,P_CSCF,20260602002500,5,1334,1326,8,825,803,22,24,5,1,2858,141.18,32.19,47.53,13777,12944
IMS-CSCF-A01,P_CSCF,20260602003000,5,1217,1193,24,753,742,11,26,7,2,2609,128.48,29.51,44.13,12502,11691
IMS-CSCF-A01,P_CSCF,20260602003500,5,1243,1234,9,770,749,21,22,6,2,2665,132.57,33.68,44.74,12803,12014
IMS-CSCF-A01,P_CSCF,20260602004000,5,1252,1236,16,775,764,11,20,5,2,2683,131.82,34.62,44.91,12594,11898
IMS-CSCF-A01,P_CSCF,20260602004500,5,1328,1301,27,822,814,8,26,7,2,2846,137.01,34.54,45.61,13563,12193
IMS-CSCF-A01,P_CSCF,20260602005000,5,1351,1342,9,836,831,5,10,3,1,2895,125.32,30.41,41.58,13544,12913
IMS-CSCF-A01,P_CSCF,20260602005500,5,1282,1253,29,794,785,9,29,7,2,2749,122.93,31.25,45.21,12638,12110
IMS-CSCF-A01,P_CSCF,20260602010000,5,1231,1214,17,762,749,13,23,6,1,2638,129.41,32.87,44.92,12142,11236
