NEName,NeType,CollectTime,Interval,RegAtt,RegSucc,RegFail,InvAtt,InvSucc,InvFail,Rsp4xx,Rsp5xx,Rsp6xx,ActSess,SetupTime,CpuLoad,MemLoad,MsgRx,MsgTx
IMS-CSCF-A02,S_CSCF,20260602000000,5,971,942,29,601,590,11,32,7,1,2081,135.61,29.67,44.8,10040,9374
IMS-CSCF-A02,S_CSCF,20260602000500,5,901,882,19,557,545,12,23,6,2,1930,116.3,27.3,42.34,8876,8487
IMS-CSCF-A02,S_CSCF,20260602001000,5,933,906,27,578,570,8,28,6,1,2001,123.2,33.71,44.48,9193,8738
IMS-CSCF-A02,S_CSCF,20260602001500,5,878,864,14,543,538,5,15,3,1,1881,127.29,28.02,41.27,8538,8366
IMS-CSCF-A02,S_CSCF,20260602002000,5,904,894,10,559,556,3,10,2,1,1937,130.95,27.06,40.69,9182,8774
IMS-CSCF-A02,S_CSCF,20260602002500,5,890,870,20,551,539,12,24,6,2,1908,122.85,30.45,44.47,8885,8286
IMS-CSCF-A02,S_CSCF,20260602003000,5,893,877,16,553,538,15,24,6,1,1915,116.54,33.38,44.61,9035,8155
IMS-CSCF-A02,S_CSCF,20260602003500,5,863,855,8,534,520,14,17,4,1,1850,127.95,28.86,41.79,8407,7987
IMS-CSCF-A02,S_CSCF,20260602004000,5,946,934,12,585,575,10,17,4,1,2027,132.12,34.54,44.98,9719,9097
IMS-CSCF-A02,S_CSCF,20260602004500,5,947,940,7,586,582,4,8,2,1,2030,130.15,34.05,41.31,9391,9033
IMS-CSCF-A02,S_CSCF,20260602005000,5,907,899,8,561,557,4,9,2,1,1945,123.29,30.19,45.12,9020,8727
IMS-CSCF-A02,S_CSCF,20260602005500,5,909,882,27,563,558,5,26,5,1,1949,126.0,27.06,39.82,8903,8406
IMS-CSCF-A02,S_CSCF,20260602010000,5,865,841,24,536,521,15,30,7,2,1855,134.37,30.49,44.74,8786,8217
IMS-CSCF-A02,S_CSCF,20260602010500,5,904,878,26,560,548,12,30,7,1,1938,126.93,28.71,43.99,9079,8201
IMS-CSCF-A02,S_CSCF,20260602011000,5,923,908,15,571,563,8,18,4,1,1978,128.06,30.26,42.48,9251,8643
IMS-CSCF-A02,S_CSCF,20260602011500,5,,910,5,566,559,7,9,2,1,1961,127.58,27.13,42.07,9189,8487
IMS-CSCF-A02,S_CSCF,20260602012000,5,881,857,24,545,533,12,29,6,1,1888,128.91,28.7,43.49,8984,8252
IMS-CSCF-A02,S_CSCF,20260602012500,5,887,873,14,549,543,6,16,3,1,1902,131.0,29.72,42.29,9163,8501
IMS-CSCF-A02,S_CSCF,20260602013000,5,949,929,20,587,574,13,25,6,2,2035,126.73,30.38
IMS-CSCF-A02,S_CSCF,20260602013500,5,899,883,16,556,548,8,19,4,1,1927,128.13,28.98,40.51,8945,8484
IMS-CSCF-A02,S_CSCF,20260602014000,5,910,896,14,563,548,15,23,5,1,1952,133.72,33.13,43.99,9211,8462
IMS-CSCF-A02,S_CSCF,20260602014500,5,874,850,24,541,531,10,26,6,2,1874,128.89,26.04,42.94,8828,8017
IMS-CSCF-A02,S_CSCF,20260602015000,5,877,863,14,543,529,14,21,6,1,1881,124.23,29.8,41.64,8599,8021
IMS-CSCF-A02,S_CSCF,20260602015500,5,890,876,14,551,542,9,18,4,1,1908,129.72,24.07,45.35,8957,8591
IMS-CSCF-A02,S_CSCF,20260602020000,5,916,893,23,567,561,6,22,6,1,1963,123.24,30.77,45.08,9086,8561
IMS-CSCF-A02,S_CSCF,20260602020500,5,885,871,14,548,542,6,16,4,0,1897,122.6,27.03,43.89,9044,8040
IMS-CSCF-A02,S_CSCF,20260602021000,5,917,898,19,568,565,3,17,4,1,1966,125.72,32.62,40.48,9024,8778
