NEName,NeType,CollectTime,Interval,RegAtt,RegSucc,RegFail,InvAtt,InvSucc,InvFail,Rsp4xx,Rsp5xx,Rsp6xx,ActSess,SetupTime,CpuUsage,MemLoad,MsgRx,MsgTx,InvFail5xx,RegSuccRate
IMS-CSCF-A01,P_CSCF,20260609000000,5,1288,1264,24,797,784,13,29,7,1,2760,130.94,34.94,45.86,12957,12107,2,98.14
IMS-CSCF-A01,P_CSCF,20260609000500,5,1263,1250,13,781,758,23,28,7,1,2706,127.7,31.91,45.5,13068,11683,4,98.97
IMS-CSCF-A01,P_CSCF,20260609001000,5,1211,1179,32,750,732,18,38,9,3,2596,125.21,34.99,44.67,11854,11609,3,97.36
IMS-CSCF-A01,P_CSCF,20260609001500,5,1254,1217,37,776,764,12,39,9,1,2689,132.35,33.41,41.52,12519,12171,2,97.05
IMS-CSCF-A01,P_CSCF,20260609002000,5,1293,1278,15,800,782,18,26,6,1,2771,135.45,37.76,41.98,13345,11800,3,98.84
IMS-CSCF-A01,P_CSCF,20260609002500,5,1259,1242,17,779,765,14,25,5,1,2699,139.87,35.67,45.25,12515,11855,2,98.65
IMS-CSCF-A01,P_CSCF,20260609003000,5,1240,1207,33,768,754,14,36,9,2,2658,132.14,34.37,45.71,12355,11635,3,97.34
IMS-CSCF-A01,P_CSCF,20260609003500,5,1287,1267,20,796,788,8,21,5,2,2757,131.62,40.47,42.67,12656,12411,1,98.45
IMS-CSCF-A01,P_CSCF,20260609004000,5,1306,1268,38,808,787,21,45,11,3,2798,144.21,35.13,43.1,13477,11919,4,97.09
IMS-CSCF-A01,P_CSCF,20260609004500,5,1180,1146,34,731,726,5,31,7,1,2530,133.86,31.18,45.41,11546,11049,1,97.12
IMS-CSCF-A01,P_CSCF,20260609005000,5,1296,1263,33,802,779,23,44,10,2,2777,136.78,32.31,46.11,12890,12402,4,97.45
IMS-CSCF-A01,P_CSCF,20260609005500,5,1264,1232,32,782,759,23,42,11,2,2709,133.21,33.06,46.93,12954,12268,5,97.47
IMS-CSCF-A01,P_CSCF,20260609010000,5,1269,1260,9,785,781,4,10,3,0,2720,120.14,33.4,43.81,12773,11642,1,99.29
IMS-CSCF-A01,P_CSCF,20260609010500,5,1225,1195,30,758,737,21,41,9,1,2626,131.76,34.46,43.53,12083,11741,4,97.55
IMS-CSCF-A01,P_CSCF,20260609011000,5,1242,1223,19,769,759,10,21,6,2,2662,140.98,34.63,44.15,12144,11511,2,98.47
IMS-CSCF-A01,P_CSCF,20260609011500,5,1230,1193,37,761,752,9,35,9,2,2636,135.83,38.0,41.98,11961,11734,2,96.99
IMS-CSCF-A01,P_CSCF,20260609012000,5,1259,1235,24,779,771,8,25,6,1,2698,130.2,35.58,40.47,12616,11494,2,98.09
IMS-CSCF-A01,P_CSCF,20260609012500,5,1287,1255,32,797,787,10,32,8,2,2759,132.5,35.23,46.63,13112,12435,2,97.51
IMS-CSCF-A01,P_CSCF,20260609013000,5,1252,1243,9,775,755,20,22,6,1,2684,129.13,33.12,43.98,12546,11573,4,99.28
IMS-CSCF-A01,P_CSCF,20260609013500,5,1274,1263,11,789,784,5,12,3,1,2731,123.92,28.91,45.03,12952,11747,1,99.14
